DATE,AF,IN,QD
2000-03-15,5027.49,-3.315,0.0
2000-03-16,5020.916,-3.315,0.0
2000-03-17,5014.342,-3.315,0.0
2000-03-18,5007.768,-3.315,0.0
2000-03-19,5001.193,-3.315,0.0
2000-03-20,4994.619,-3.315,0.0
2000-03-21,4988.045,-3.315,0.0
2000-03-22,4981.471,-3.315,0.0
2000-03-23,4974.896,-3.315,0.0
2000-03-24,4968.322,-3.315,0.0
2000-03-25,4961.748,-3.315,0.0
2000-03-26,4955.174,-3.315,0.0
2000-03-27,4948.406,-3.412,0.0
2000-03-28,4941.832,-3.315,0.0
2000-03-29,4935.064,-3.412,0.0
2000-03-30,4928.49,-3.315,0.0
2000-03-31,4921.723,-3.412,0.0
2000-04-01,4949.953,14.233,0.0
2000-04-02,4978.184,14.233,0.0
2000-04-03,5006.414,14.233,0.0
2000-04-04,5034.645,14.233,0.0
2000-04-05,5062.875,14.233,0.0
2000-04-06,5091.105,14.233,0.0
2000-04-07,5119.529,14.33,0.0
2000-04-08,5147.76,14.233,0.0
2000-04-09,5176.184,14.33,0.0
2000-04-10,5204.414,14.233,0.0
2000-04-11,5232.838,14.33,0.0
2000-04-12,5261.068,14.233,0.0
2000-04-13,5289.492,14.33,0.0
2000-04-14,5317.723,14.233,0.0
2000-04-15,5357.361,19.985,0.0
2000-04-16,5397.0,19.985,0.0
2000-04-17,5507.308,55.613,0.0
2000-04-18,5617.346,55.478,0.0
2000-04-19,5766.127,75.01,0.0
2000-04-20,5920.558,77.859,0.0
2000-04-21,6074.719,77.723,0.0
2000-04-22,6223.5,75.01,0.0
2000-04-23,6416.404,97.256,0.0
2000-04-24,6609.308,97.256,0.0
2000-04-25,6801.942,97.12,0.0
2000-04-26,6994.846,97.256,0.0
2000-04-27,7187.75,97.256,0.0
2000-04-28,7408.096,111.091,0.0
2000-04-29,7628.442,111.091,0.0
2000-04-30,7876.5,125.062,0.0
2000-05-01,8124.558,125.062,0.0
2000-05-02,8378.053,127.804,0.0
2000-05-03,8642.026,133.087,0.0
2000-05-04,8906.0,133.087,0.0
2000-05-05,9139.784,117.866,0.0
2000-05-06,9373.568,117.866,0.0
2000-05-07,9607.353,117.866,0.0
2000-05-08,9841.137,117.866,0.0
2000-05-09,10074.553,117.681,0.0
2000-05-10,10263.053,95.035,0.0
2000-05-11,10451.553,95.035,0.0
2000-05-12,10640.053,95.035,0.0
2000-05-13,10828.553,95.035,0.0
2000-05-14,11017.053,95.035,0.0
2000-05-15,11205.553,95.035,0.0
2000-05-16,11394.053,95.035,0.0
2000-05-17,11582.553,95.035,0.0
2000-05-18,11771.053,95.035,0.0
2000-05-19,11960.277,95.401,0.0
2000-05-20,12151.664,96.491,0.0
2000-05-21,12333.248,91.549,0.0
2000-05-22,12514.832,91.549,0.0
2000-05-23,12696.416,91.549,0.0
2000-05-24,12878.0,91.549,0.0
2000-05-25,13059.395,91.453,0.0
2000-05-26,13240.788,91.453,0.0
2000-05-27,13422.183,91.453,0.0
2000-05-28,13603.576,91.453,0.0
2000-05-29,13833.467,115.903,0.0
2000-05-30,14063.598,116.024,0.0
2000-05-31,14293.729,116.024,0.0
2000-06-01,14523.859,116.024,0.0
2000-06-02,14753.99,116.024,0.0
2000-06-03,14983.917,115.921,0.0
2000-06-04,15213.808,115.903,0.0
2000-06-05,15443.697,115.903,0.0
2000-06-06,15673.588,115.903,0.0
2000-06-07,15903.645,115.987,0.0
2000-06-08,16133.775,116.024,0.0
2000-06-09,16363.906,116.024,0.0
2000-06-10,16594.037,116.024,0.0
2000-06-11,16853.262,130.692,0.0
2000-06-12,17137.314,143.21,0.0
2000-06-13,17421.367,143.21,0.0
2000-06-14,17705.42,143.21,0.0
2000-06-15,17989.473,143.21,0.0
2000-06-16,18273.525,143.21,0.0
2000-06-17,18557.578,143.21,0.0
2000-06-18,18841.055,142.92,0.0
2000-06-19,19125.107,143.21,0.0
2000-06-20,19408.584,142.92,0.0
2000-06-21,19692.637,143.21,0.0
2000-06-22,19976.113,142.92,0.0
2000-06-23,20260.166,143.21,0.0
2000-06-24,20543.643,142.92,0.0
2000-06-25,20827.695,143.21,0.0
2000-06-26,21111.172,142.92,0.0
2000-06-27,21395.225,143.21,0.0
2000-06-28,21678.701,142.92,0.0
2000-06-29,21962.754,143.21,0.0
2000-06-30,22175.361,107.19,0.0
2000-07-01,22246.23,35.73,0.0
2000-07-02,22246.23,0.0,0.0
2000-07-03,22246.23,0.0,0.0
2000-07-04,22246.23,0.0,0.0
2000-07-05,22246.23,0.0,0.0
2000-07-06,22246.23,0.0,0.0
2000-07-07,22246.23,0.0,0.0
2000-07-08,22246.23,0.0,0.0
2000-07-09,22186.885,-29.92,0.0
2000-07-10,22128.115,-29.63,0.0
2000-07-11,22128.115,50.0,50.0
2000-07-12,22049.756,10.494,50.0
2000-07-13,21970.82,10.203,50.0
