DateTime,thf_id,thf_qd,thf_af
1996-05-23,1166.23,1200.0,14185.79
1996-05-24,1010.22,1040.0,14135.61
1996-05-25,934.49,953.0,14122.15
1996-05-26,895.5,920.0,14100.12
1996-05-27,878.42,904.0,14079.32
1996-05-28,830.84,861.0,14043.83
1996-05-29,749.04,775.0,14008.34
1996-05-30,683.9,714.0,13966.79
1996-05-31,624.95,643.0,13945.55
1996-06-01,547.83,572.0,13911.34
1996-06-02,494.07,510.0,13898.37
1996-06-03,500.22,542.0,13850.0
1996-06-04,588.8,607.0,13842.92
1996-06-05,612.65,621.0,13850.0
1996-06-06,504.2,539.0,13795.73
1996-06-07,474.12,489.0,13788.65
1996-06-08,544.6,546.0,13815.79
1996-06-09,569.57,586.0,13808.71
1996-06-10,514.83,539.0,13781.57
1996-06-11,435.82,470.0,13727.31
1996-06-12,390.6,402.0,13720.23
1996-06-13,309.49,350.0,13644.73
1996-06-14,276.59,293.0,13616.42
1996-06-15,285.87,291.0,13616.42
1996-06-16,297.8,295.0,13630.57
1996-06-17,281.05,302.0,13596.36
1996-06-18,281.52,291.0,13582.2
1996-06-19,253.63,257.0,13576.31
1996-06-20,164.8,190.0,13520.86
1996-06-21,166.18,172.0,13506.7
1996-06-22,163.91,160.0,13513.78
1996-06-23,170.01,167.0,13520.86
1996-06-24,202.81,191.0,13547.99
1996-06-25,292.71,265.0,13616.42
1996-06-26,327.16,313.0,13657.71
1996-06-27,329.56,337.0,13657.71
1996-06-28,364.91,357.0,13686.02
1996-06-29,339.84,348.0,13678.94
1996-06-30,256.89,285.0,13623.49
1996-07-01,216.06,226.0,13603.44
1996-07-02,184.08,194.0,13582.2
1996-07-03,172.68,175.0,13576.31
1996-07-04,116.45,155.0,13493.73
1996-07-05,89.12,109.0,13445.36
1996-07-06,90.69,83.0,13452.44
1996-07-07,42.23,78.0,13376.93
1996-07-08,40.49,99.0,13260.14
1996-07-09,56.08,117.0,13136.27
1996-07-10,41.6,115.0,12986.45
1996-07-11,36.89,103.0,12848.43
1996-07-12,22.14,88.0,12711.58
1996-07-13,36.37,92.0,12596.36
1996-07-14,6.71,103.0,12400.52
1996-07-15,15.92,110.0,12210.3
1996-07-16,31.45,109.0,12052.72
1996-07-17,20.92,108.0,11876.02
1996-07-18,22.74,107.0,11706.06
1996-07-19,26.04,107.0,11542.86
1996-07-20,35.12,107.0,11397.66
1996-07-21,28.75,103.0,11244.65
1996-07-22,19.09,98.0,11081.04
1996-07-23,23.98,100.0,10924.96
1996-07-24,29.09,107.0,10767.81
1996-07-25,15.98,109.0,10580.52
1996-07-26,14.76,111.0,10385.69
1996-07-27,29.85,110.0,10223.15
