DateTime,isl_id,isl_qd,isl_af
2004-08-19,679.79,253.91,56945.18
2004-08-20,561.26,253.43,55757.59
2004-08-21,531.79,252.88,54551.22
2004-08-22,573.09,252.3,53446.6
2004-08-23,464.51,251.63,52126.63
2004-08-24,529.78,250.92,50955.94
2004-08-25,523.55,250.18,49772.89
2004-08-26,640.99,249.53,48802.95
2004-08-27,558.75,248.0,47669.89
2004-08-28,474.0,246.45,46388.56
2004-08-29,500.79,245.15,45180.21
2004-08-30,498.69,244.34,43967.69
2004-08-31,473.31,243.5,42724.66
2004-09-01,474.83,242.69,41484.66
2004-09-02,439.03,183.95,40312.49
2004-09-03,572.82,136.24,39473.13
2004-09-04,482.84,135.83,38447.36
2004-09-05,539.34,135.42,37533.66
2004-09-06,536.02,134.98,36613.36
2004-09-07,506.33,134.55,35661.95
2004-09-08,561.57,74.97,34945.07
2004-09-09,527.85,32.94,34244.61
2004-09-10,484.4,32.84,33457.96
2004-09-11,571.87,32.74,32836.87
2004-09-12,601.04,32.67,32470.0
2004-09-13,644.97,235.72,32493.75
2004-09-14,640.88,481.14,32616.49
2004-09-15,599.03,481.28,32640.35
2004-09-16,592.16,436.57,32763.65
2004-09-17,658.79,407.17,33108.35
2004-09-18,453.98,407.42,33058.73
2004-09-19,681.93,407.66,33433.46
2004-09-20,519.35,408.01,33457.96
2004-09-21,593.1,408.23,33608.91
2004-09-22,586.35,408.41,33734.57
2004-09-23,568.13,408.59,33835.99
2004-09-24,509.0,408.65,33835.99
2004-09-25,565.42,408.75,33963.77
2004-09-26,453.18,408.86,33886.78
2004-09-27,626.89,407.56,34168.21
2004-09-28,540.15,407.17,34269.66
2004-09-29,503.28,407.25,34296.0
2004-09-30,545.96,407.35,34399.07
2004-10-01,463.62,293.13,34658.15
2004-10-02,440.08,199.88,35156.16
2004-10-03,430.15,200.23,35634.47
2004-10-04,443.09,107.21,36120.6
2004-10-05,407.47,33.14,36530.13
2004-10-06,486.37,33.19,37084.25
2004-10-07,431.58,33.25,37533.66
2004-10-08,394.74,50.33,37902.07
2004-10-09,486.92,33.36,38447.36
2004-10-10,451.91,44.61,38913.29
2004-10-11,418.56,35.54,39295.23
2004-10-12,466.34,35.59,39769.95
2004-10-13,479.96,35.64,40251.86
2004-10-14,437.54,34.63,40586.16
2004-10-15,496.38,33.63,40987.58
2004-10-16,457.98,33.67,41296.97
2004-10-17,464.94,33.7,41610.24
2004-10-18,665.67,33.76,42307.76
2004-10-19,464.17,33.79,42595.71
2004-10-20,690.11,33.85,43341.72
2004-10-21,518.42,33.91,43802.71
2004-10-22,509.86,33.96,44268.55
2004-10-23,704.24,34.01,45112.0
2004-10-24,506.1,34.08,45556.49
2004-10-25,500.22,36.88,45971.48
2004-10-26,498.28,40.56,46388.56
2004-10-27,546.06,40.61,46918.26
2004-10-28,580.15,40.67,47525.49
2004-10-29,557.68,40.73,48068.33
2004-10-30,537.67,40.79,48581.4
2004-10-31,484.72,40.83,48987.46
2004-11-01,448.67,40.88,49322.02
2004-11-02,482.78,40.91,49736.13
2004-11-03,444.25,40.95,50075.8
2004-11-04,518.65,40.99,50570.97
2004-11-05,435.15,41.03,50916.4
2004-11-06,371.06,41.06,51148.59
2004-11-07,393.74,41.08,51421.8
2004-11-08,452.38,41.12,51811.31
2004-11-09,467.32,41.16,52246.32
2004-11-10,469.14,41.2,52682.96
2004-11-11,455.19,41.24,53084.0
2004-11-12,434.81,41.27,53446.6
2004-11-13,434.03,41.31,53811.61
2004-11-14,374.72,41.34,54057.0
2004-11-15,645.92,41.39,54840.32
2004-11-16,434.77,41.43,55214.73
2004-11-17,408.43,41.46,55548.8
2004-11-18,452.93,41.49,55967.18
